scientificname,scientificnameid,records,phylum,class,order,family,genus,annotation_type,annotation_aphiaid,datasets
Globigerina quinqueloba sinistralis,,460,,,,,,,,e724b7a8-b199-410c-a23c-1d46627df133; b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Edwardsia,,456,,,,,,,,8acba7e7-2e50-4490-8328-b78a30472508; a9a3bdc6-209f-4c66-aafd-ce5271cb63b3; 63187f4a-1af9-4611-8f05-e806676ab55b; ebe7ffad-b134-40d3-b3df-21b675c4bcb1; 19abb100-fb94-4295-ab17-bb3e58674cf3
Neogloboquadrina acostaensis sinistralis,,454,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
"Sciurus vulgaris russus Miller Jr., 1907",,452,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758","Rodentia Bowdich, 1819","Sciuridae Fischer de Waldheim, 1817","Sciurus Linnaeus, 1758",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
Oncaea notopus,,451,,,,,,,,eb5a052f-428e-4a6d-8058-3785c9356df7; 44513b57-0963-4668-a2ff-5f55c90fbc1b
Parvicardium ovale,,450,,,,,,,,8acba7e7-2e50-4490-8328-b78a30472508; a9a3bdc6-209f-4c66-aafd-ce5271cb63b3
Chaetodon lunulatus,,449,Chordata,,,Chaetodontidae,Chaetodon,,,c04414fb-9ac0-42d2-be21-f0754f416e04
"Jehlius cirratus (Darwin, 1854)",urn:lsid:marinespecies.org:taxname:0,444,,,,,,,,81db945e-d319-4237-b49e-cd3e78937393
"Anthus trivialis trivialis (Linnaeus, 1758)",,443,"Chordata Bateson, 1885",Aves,Passeriformes,Motacillidae,"Anthus Bechstein, 1805",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Leptocylindrus danicus,,433,Bacillariophyta,Coscinodiscophyceae,Leptocylindrales,Leptocylindraceae,Leptocylindrus,,,46c52e34-73b7-45e6-a2ac-742e4c2058c5; aaf1a74e-d12a-42da-8203-bdd1fe3bd42b
"FOREIGN ARTICLES,GARBAGE",urn:lsid:marinespecies.org:taxname:,429,,,,,,,,185fe84e-91f7-4f2c-b2ac-115116c7111e
Zoomorpha remains,,422,,,,,,,,55fe88ac-f76a-40c5-b529-037b460a5771; cdcddae2-a8e0-4c86-9e8d-f85134876937
Velambassis jacksoniensis,,420,Chordata,Actinopterygii,Perciformes,Centropomidae,,,,685de728-3eb8-4b31-8bfd-40035bb8aa4d
"Parus major major Linnaeus, 1758",,420,"Chordata Bateson, 1885",Aves,Passeriformes,Paridae,"Parus Linnaeus, 1758",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Nucula sulcata,,419,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3; 63187f4a-1af9-4611-8f05-e806676ab55b; ebe7ffad-b134-40d3-b3df-21b675c4bcb1; 8acba7e7-2e50-4490-8328-b78a30472508; 19abb100-fb94-4295-ab17-bb3e58674cf3
Achnanthes taeniata,,416,,,,,,,,46c52e34-73b7-45e6-a2ac-742e4c2058c5; 73195855-408b-4562-8349-c5774fd4fa2f
Globigerina bulloides umbilicata,,415,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665; b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Oceanites oceanicus oceanicus,,415,Chordata,Aves,Procellariiformes,Oceanitidae,Oceanites,,,40042b74-3af8-47b5-9bd8-3f3be34c6f8d
Terebellidae juv,,412,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3
Hirsutella scitula,,412,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Bathyporeia pilosa,,411,,,,,,,,63187f4a-1af9-4611-8f05-e806676ab55b; 8acba7e7-2e50-4490-8328-b78a30472508; a9a3bdc6-209f-4c66-aafd-ce5271cb63b3; ebe7ffad-b134-40d3-b3df-21b675c4bcb1; 19abb100-fb94-4295-ab17-bb3e58674cf3; f7a8bd7b-1c7f-4c99-8e20-ecfabeb02e75; 80486acf-df76-4f48-b610-91258e8c3652
Geminilithella spp.,,411,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
"Sorex coronatus Millet, 1828",,411,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758",Insectivora Bowdich,Soricidae Fischer von Waldheim,"Sorex Linnaeus, 1758",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
"Erithacus rubecula rubecula (Linnaeus, 1758)",,409,"Chordata Bateson, 1885",Aves,Passeriformes,"Turdidae Rafinesque, 1815","Erithacus Linnaeus, 1758",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Globigerinoides fistulosus,,407,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665; b58d5ca0-1af8-48b3-993d-6c89742bb0d2; c35394b6-edde-4c01-8341-db735bac11c7
Pseudopedinella pyriforme,,396,,,,,,,,6f7372ff-0199-4e51-9728-69cb536aaa14
CHAETOCERCUS,,395,,,,,,,,46c52e34-73b7-45e6-a2ac-742e4c2058c5
Ferrissia (Pettancylus) petterdi,,395,Mollusca,Gastropoda,Hygrophila,Planorbidae,Ferrissia,,,58bb5aa2-2939-48d5-9015-b18706e26425; 63cb90c7-6607-46b6-8472-d6d7b14a95a5
Chrysophrys auratus,,395,,,,,,,,4143a29a-05f7-4b5a-830d-1a48b2b5b4a7; 7e242e5a-d2ad-412e-8da7-682e78afc5d7
Coscinodiscus radiatus,,394,,,,,,,,46c52e34-73b7-45e6-a2ac-742e4c2058c5; d6fcd171-ee34-4fba-b03f-78290accb814
"Lanius collurio collurio   Linnaeus, 1758",,392,"Chordata Bateson, 1885",Aves,Passeriformes,Laniidae,"Lanius Linnaeus, 1758",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Chaetoceros borealis,,391,,,,,,,,46c52e34-73b7-45e6-a2ac-742e4c2058c5; b795fd5d-71ab-413f-9bb6-90d803dce53c
"Carduelis cannabina cannabina (Linnaeus, 1758)",,387,"Chordata Bateson, 1885",Aves,Passeriformes,Fringillidae,"Carduelis Brisson, 1760",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Sphaeroidinellopsis seminulina seminulina,,387,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
Miscellaneous,,386,NA,NA,NA,,,,,60cfb9fb-dbbf-4fcf-86a7-dda5343aadee; 422c3f13-db22-4bb0-b9bd-98d09ac2f6ab
Morozovella crassata,,383,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2; 38535a43-2982-4479-88c1-8303f7ee8665
ULTRANANNOPLANKTON,,383,,,,,,,,46c52e34-73b7-45e6-a2ac-742e4c2058c5
"Sylvia communis communis  Latham, 1787",,381,"Chordata Bateson, 1885",Aves,Passeriformes,Sylviidae,"Sylvia Scopoli, 1768",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Owenia,,380,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3; e4234681-4822-4490-9113-bdac90911dca; 62079bf3-19fc-4a28-9064-4134b7dbe98b; d28b4411-1710-4b08-9ec7-99b8c68ae4b2
Spiniferites delicatus,,380,,,,,,,,b08e636b-f5be-4f7f-81db-bdafcdf68e57; b58d5ca0-1af8-48b3-993d-6c89742bb0d2; ab8cfc47-8b3f-4f0e-b0f1-719793823118; f3c02ebd-f672-4787-ae0b-92263041cf0d; 6897b33d-8865-4a9b-ae13-2d73cd33d1e5
Requin non identifiÃ©,,379,,,,,,,,15700106-b0f0-4134-b3d4-4d48acce406a
Haustorius arenarius,,376,,,,,,,,f7a8bd7b-1c7f-4c99-8e20-ecfabeb02e75; a9a3bdc6-209f-4c66-aafd-ce5271cb63b3; 63187f4a-1af9-4611-8f05-e806676ab55b; ebe7ffad-b134-40d3-b3df-21b675c4bcb1; 19abb100-fb94-4295-ab17-bb3e58674cf3; 8acba7e7-2e50-4490-8328-b78a30472508
Chromophyta,,374,,,,,,,,63187f4a-1af9-4611-8f05-e806676ab55b; ebe7ffad-b134-40d3-b3df-21b675c4bcb1; 2ea246a7-cd94-4c51-9a30-65d0036a660a
Truncorotalia truncatulinoides sinistralis,,374,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
nanoplankton with no taxonomy,,374,,,,,,,,46c52e34-73b7-45e6-a2ac-742e4c2058c5
Phalacrocorax varius varius,ITIS:TSN:824227,372,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,,,23c15f33-94a8-4e3e-bb76-5d5b0bf203f8
Pagurus cuanensis,,368,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3; ebe7ffad-b134-40d3-b3df-21b675c4bcb1; d28b4411-1710-4b08-9ec7-99b8c68ae4b2
"Turdus merula merula Linnaeus, 1758",,368,"Chordata Bateson, 1885",Aves,Passeriformes,"Turdidae Rafinesque, 1815","Turdus Linnaeus, 1758",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Globorotalia conoidea,,368,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665; b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Dolichospermum,,366,,,,,,,,46c52e34-73b7-45e6-a2ac-742e4c2058c5
Operculodinium janduchenei,,364,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2; f3c02ebd-f672-4787-ae0b-92263041cf0d; ab8cfc47-8b3f-4f0e-b0f1-719793823118; 38535a43-2982-4479-88c1-8303f7ee8665; b08e636b-f5be-4f7f-81db-bdafcdf68e57; 6897b33d-8865-4a9b-ae13-2d73cd33d1e5; 72f1ab78-1fc3-493d-943f-8e16c6112f26
Fritillaria borealis f. typica,,361,,,,,,,,6ced1167-d236-4a60-a783-b0ea06b49ff0; d1001fdc-d4a2-4d01-bcd2-2e122f2ca537
Globigerina angulisuturalis,,360,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665; b58d5ca0-1af8-48b3-993d-6c89742bb0d2
phytoplankton with no taxonomy,,360,,,,,,,,46c52e34-73b7-45e6-a2ac-742e4c2058c5
Fusibacter,,352,,,,,,,,2fd06604-7d20-4712-9f68-eae9ae336bb5
Serpula vermicularis,,350,,,,,,,,ebe7ffad-b134-40d3-b3df-21b675c4bcb1; a9a3bdc6-209f-4c66-aafd-ce5271cb63b3; 63187f4a-1af9-4611-8f05-e806676ab55b; 12acbce5-cb41-48c4-bd80-6030b0f0a83f; 19abb100-fb94-4295-ab17-bb3e58674cf3; 80486acf-df76-4f48-b610-91258e8c3652
Oncaea,,349,,,,,,,,363961a9-9f45-46df-980b-0b076e66a296; eb5a052f-428e-4a6d-8058-3785c9356df7; efe02bea-8a90-48f2-bb6b-d65141295d1d; 38e5dd79-5e2a-40aa-8638-7b72c8acbbae; 49ae072f-d54d-4826-832b-12ef86f2c81e
Heterohelix planata,,346,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2; 38535a43-2982-4479-88c1-8303f7ee8665
Euthynnus alletteratus tuna,,346,,,,,,,,7aee17f1-d6e8-4204-a4b2-eafdf89563cf
Heterolepa kullenbergi,,344,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
Acacia oncinophylla,,343,,,,,,,,de164752-b2a3-4857-b73b-04c00c0c801e
Eulima bilineata,,340,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3; 63187f4a-1af9-4611-8f05-e806676ab55b; 8acba7e7-2e50-4490-8328-b78a30472508; ebe7ffad-b134-40d3-b3df-21b675c4bcb1
Nitzschia acicularis,,339,,,,,,,,46c52e34-73b7-45e6-a2ac-742e4c2058c5
Zeaglobigerina woodi,,337,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Epistominella rotunda,,336,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
Glycera,,335,,,,,,,,21ed84e4-5bb0-4b15-b088-5d3e5880b67e; 2ed8adcd-c829-4928-9a3a-804e58830f24; d29d7aa5-08e0-4c1f-9b1c-3b46b3b93563; 579ff94c-c6a5-4589-9903-8ce3db8051d1; 34370444-238d-4908-9ffb-73d98e2057b0
Barentsia,,334,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3; 63187f4a-1af9-4611-8f05-e806676ab55b; ebe7ffad-b134-40d3-b3df-21b675c4bcb1; 12acbce5-cb41-48c4-bd80-6030b0f0a83f
Bikonta,,334,,,,,,,,f6e5b0ee-d645-40fc-a433-17fd8965c941; 6963aa86-a154-459c-aeb0-0496668512f6
Truncorotalia truncatulinoides dextralis,,329,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
"Phylloscopus trochilus trochilus (Linnaeus, 1758)",,329,"Chordata Bateson, 1885",Aves,Passeriformes,Sylviidae,"Phylloscopus Boie, 1826",,,e9acab50-8203-4c1e-b2e7-cbb850670808
no observed fishes,NA,328,NA,NA,NA,NA,NA,,,49743994-7d38-41ed-a91f-0674bbb182c7
Globigerinita glutinata glutinata,,325,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
Haustator (Kurosioia) cingulifera,,325,Mollusca,Gastropoda,Cerithimorpha,Turritellidae,Haustator,,,58bb5aa2-2939-48d5-9015-b18706e26425; d104db68-63cf-4f34-b92a-54bd55a07394
Eteone flava longa,,321,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3
Tubularia,,320,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3; 63187f4a-1af9-4611-8f05-e806676ab55b; ebe7ffad-b134-40d3-b3df-21b675c4bcb1; f7a8bd7b-1c7f-4c99-8e20-ecfabeb02e75; 12acbce5-cb41-48c4-bd80-6030b0f0a83f; 19abb100-fb94-4295-ab17-bb3e58674cf3
Lichens,,319,,,,,,,,ebe7ffad-b134-40d3-b3df-21b675c4bcb1; f7a8bd7b-1c7f-4c99-8e20-ecfabeb02e75; 63187f4a-1af9-4611-8f05-e806676ab55b
Reticulatosphaera actinocoronata,,316,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2; 38535a43-2982-4479-88c1-8303f7ee8665
Lynx_lynx,,315,,Mammalia,Carnivora,Felidae,Lynx,,,6b6ae0c9-662d-4a81-8caf-dd189db81f88
"Passer domesticus domesticus (Linnaeus, 1758)",,315,"Chordata Bateson, 1885",Aves,Passeriformes,Passeridae,"Passer Brisson, 1760",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Bathyporeia pilosa,,313,Arthropoda,Malacostraca,Amphipoda,Pontoporeiidae,Bathyporeia,,,8acba7e7-2e50-4490-8328-b78a30472508; 9c8a2ac6-f394-4fa1-981e-227fa7b14675
Parametaphoxus fultoni,,312,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3
Chaetoceros compressus,,310,,,,,,,,46c52e34-73b7-45e6-a2ac-742e4c2058c5
Unidentified - 8200,urn:lsid:marinespecies.org:taxname:,309,,,,,,,,185fe84e-91f7-4f2c-b2ac-115116c7111e
"Pica pica pica (Linnaeus, 1758)",,308,"Chordata Bateson, 1885",Aves,Passeriformes,Corvidae,"Pica Brisson, 1760",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Pycnonotus barbatus tricolor (Hartlaub, 1862)",,306,"Chordata Bateson, 1885",Aves,Passeriformes,Pycnonotidae,"Pycnonotus Boie, 1826",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Monticellina,,304,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3; ebe7ffad-b134-40d3-b3df-21b675c4bcb1
Zeaglobigerina nepenthes,,304,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Galathea,,299,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3; ebe7ffad-b134-40d3-b3df-21b675c4bcb1; 63187f4a-1af9-4611-8f05-e806676ab55b; 19abb100-fb94-4295-ab17-bb3e58674cf3; 80486acf-df76-4f48-b610-91258e8c3652; f7a8bd7b-1c7f-4c99-8e20-ecfabeb02e75
"Apodemus sylvaticus sylvaticus (Linnaeus, 1758)",,299,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758","Rodentia Bowdich, 1819",Muridae Illiger,"Apodemus Kaup, 1829",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
"Mustela erminea erminea Linnaeus, 1758",,299,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758",Carnivora Bowdich,Mustelidae Fischer von Waldheim,"Mustela Linnaeus, 1758",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
"Zooplankton (copepods, larvae, ciliates)",,297,,,,,,,,af8c1d46-8090-4dcc-9853-5c9ee8b7a551
Deontostoma angustifissulatum,,297,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Eudocimus ruber,,296,Chordata,Aves,,Threskiornithidae,,,,4a2c69e8-c97f-484a-8551-4e7208527e3c
"Alauda arvensis arvensis Linnaeus, 1758",,295,"Chordata Bateson, 1885",Aves,Passeriformes,Alaudidae,"Alauda Linnaeus, 1758",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Argopecten circularis,,292,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Atoxoplasma,none,292,Myzozoa,Conoidasida,Eucoccidiorida,Atoxoplasmatidae,Atoxoplasma,,,b695804a-2c12-4b7f-ba1b-4c2d2f6adb4c
Ptilanthura tricarina,,292,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b; 982d4bc2-c3f1-4018-befd-ed34b101e4b1; 41a50544-957c-4193-8bbf-25a25f749e85
Neogloboquadrina acostaensis dextralis,,290,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Synedra ulna,,286,,,,,,,,46c52e34-73b7-45e6-a2ac-742e4c2058c5
Palaeocystodinium golzowense,,286,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2; 38535a43-2982-4479-88c1-8303f7ee8665; cdcddae2-a8e0-4c86-9e8d-f85134876937
Conchoecia teretivalvata,,286,,,,,,,,2e9e9830-d7cf-43f3-ba38-12ac06a7c0ba; 248d4349-7c65-4291-b849-57127a20aec8; d0d2a510-ba24-487b-80ca-afc86922cb1c
Photis reinhardi,,285,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3; 8acba7e7-2e50-4490-8328-b78a30472508; 63187f4a-1af9-4611-8f05-e806676ab55b; fd1d4384-f317-47ee-aa8c-c20347bae849; 19abb100-fb94-4295-ab17-bb3e58674cf3
Syllis gracilis,,285,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3
Globorotalia pseudopima,,283,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665; b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Unknown,,283,,,,,,,,d613e932-1d8e-4fc1-b596-95d3f980ebdb
Aquabacterium,,282,,,,,,,,2fd06604-7d20-4712-9f68-eae9ae336bb5
Scrippsiella    unidentified complex,,281,,,,,,,,b9915edd-16b0-4aa9-9a0d-3d14574cfb61
Oratosquillina gonypetes,,281,,,,,,,,81621597-dfd5-4657-b660-ba0f7924a8e3; 89e23fc8-3f61-4480-9de3-358fe6eefe0b
Gorgonian,,280,,,,,,,,7812d226-7630-47e1-bc49-0941187a9a51
Globigerinoides ruber ruber,,277,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665; c35394b6-edde-4c01-8341-db735bac11c7
Eteone longa flava agg,,277,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3
"Rattus norvegicus norvegicus (Berkenhout, 1769)",,275,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758","Rodentia Bowdich, 1819",Muridae Illiger,"Rattus Fischer von Waldheim, 1803",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
"Troglodytes troglodytes troglodytes (Linnaeus, 1758)",,275,"Chordata Bateson, 1885",Aves,Passeriformes,Troglodytidae,"Troglodytes Vieillot, 1807",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Grey lichens,,271,,,,,,,,f7a8bd7b-1c7f-4c99-8e20-ecfabeb02e75; ebe7ffad-b134-40d3-b3df-21b675c4bcb1; 63187f4a-1af9-4611-8f05-e806676ab55b; 80486acf-df76-4f48-b610-91258e8c3652
Glycera ronxi,,271,,,,,,,,d29d7aa5-08e0-4c1f-9b1c-3b46b3b93563
"Hirundo rustica rustica Linnaeus, 1758",,271,"Chordata Bateson, 1885",Aves,Passeriformes,Hirundinidae,"Hirundo Linnaeus, 1758",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Orientia,,270,,,,,,,,2fd06604-7d20-4712-9f68-eae9ae336bb5
"Accipiter nisus nisus (Linnaeus, 1758)",,268,"Chordata Bateson, 1885",Aves,Falconiformes,Accipitridae,"Accipiter Brisson, 1760",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Clymenura dispar,,267,,,,,,,,e7c86904-aac7-4a17-a895-99a54c430d80
Globigerinoides ruber albus,,267,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
Globorotalia dutertrei,,265,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
Systematophora placacantha,,265,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2; 38535a43-2982-4479-88c1-8303f7ee8665
"Buteo buteo buteo (Linnaeus, 1758)",,264,"Chordata Bateson, 1885",Aves,Falconiformes,Accipitridae,"Buteo de la Ville Lacépède, 1799",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Globigerina senni,,264,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665; b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Picoplankton,,262,,,,,,,,b9915edd-16b0-4aa9-9a0d-3d14574cfb61; 1f15159f-6d35-4c3f-86e8-b3a89041ea33; 11ca6599-6a0c-4de2-9790-b37853dbd7b3
"Muscardinus avellanarius (Linnaeus, 1758)",,260,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758","Rodentia Bowdich, 1819",Myoxidae Gray,"Muscardinus Kaup, 1829",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
Heterotrichia,,260,Ciliophora,Heterotrichea,,,,,,f6e5b0ee-d645-40fc-a433-17fd8965c941
Thioreductor,,259,,,,,,,,2fd06604-7d20-4712-9f68-eae9ae336bb5
"Sturnus vulgaris vulgaris Linnaeus, 1758",,258,"Chordata Bateson, 1885",Aves,Passeriformes,Sturnidae,"Sturnus Linnaeus, 1758",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Gyroidinoides mediceus,,258,,,,,,,,5591f393-fc15-461f-ab1f-da45e72339ee; 38535a43-2982-4479-88c1-8303f7ee8665
Morozovella spinulosa,,255,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2; 38535a43-2982-4479-88c1-8303f7ee8665
Martes_martes,,252,,Mammalia,Carnivora,Mustelidae,Martes,,,6b6ae0c9-662d-4a81-8caf-dd189db81f88
"Sylvia atricapilla atricapilla (Linnaeus, 1758)",,252,"Chordata Bateson, 1885",Aves,Passeriformes,Sylviidae,"Sylvia Scopoli, 1768",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Alces_alces,,252,,Mammalia,Artiodactyla,Cervidae,Alces,,,6b6ae0c9-662d-4a81-8caf-dd189db81f88
Aega,,251,Arthropoda,Malacostraca,Isopoda,Aegidae,Aega,,,f7e3baa2-48c9-47d9-9219-0a457615d610
"Vulpes vulpes crucigera (Bechstein, 1789)",,249,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758",Carnivora Bowdich,Canidae Fischer von Waldheim,"Vulpes Frisch, 1775",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
Habibacysta tectata,,247,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2; 38535a43-2982-4479-88c1-8303f7ee8665; cdcddae2-a8e0-4c86-9e8d-f85134876937
"Turdus philomelos philomelos Brehm, 1831",,247,"Chordata Bateson, 1885",Aves,Passeriformes,"Turdidae Rafinesque, 1815","Turdus Linnaeus, 1758",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Turborotalia inflata,,246,,,,,,,,cdcddae2-a8e0-4c86-9e8d-f85134876937; 38535a43-2982-4479-88c1-8303f7ee8665
Unidentified - 1511,urn:lsid:marinespecies.org:taxname:,246,,,,,,,,185fe84e-91f7-4f2c-b2ac-115116c7111e
Ctenophora,,246,,,,,,,,363961a9-9f45-46df-980b-0b076e66a296; 7b32d3ea-a8ad-455c-b1e8-b22a34ca17fd; 44513b57-0963-4668-a2ff-5f55c90fbc1b; aefdfcac-74b8-42ac-88c6-ae67133ee4f3; eb5a052f-428e-4a6d-8058-3785c9356df7; 365fde5d-61cc-4e0b-b6bd-8ab80c0b034f; 1b92d97a-3a1d-4bbf-9304-c56ba34ea041
"Dasymys incomtus (Sundevall, 1847)",,244,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758","Rodentia Bowdich, 1819",Muridae Illiger,"Dasymys Peters, 1875",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
"Anthus pratensis pratensis (Linnaeus, 1758)",,243,"Chordata Bateson, 1885",Aves,Passeriformes,Motacillidae,"Anthus Bechstein, 1805",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Neogloboquadrina pseudopima,,243,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2; 38535a43-2982-4479-88c1-8303f7ee8665
"Rhinoclavis echinatum Lamarck, 1822",,243,,,,,,,,e4f6c94e-2493-4608-b883-2e6d88f61bd5
Onuphiches sp 5,,242,,,,,,,,34988250-4f32-463c-ae8e-ccffcd87604c
Litocorsa arafurensis,,242,,,,,,,,34988250-4f32-463c-ae8e-ccffcd87604c
Litocorsa wilsoni,,242,,,,,,,,34988250-4f32-463c-ae8e-ccffcd87604c
Sigambra gibbsi,,242,,,,,,,,34988250-4f32-463c-ae8e-ccffcd87604c
Litocorsa mackiei,,242,,,,,,,,34988250-4f32-463c-ae8e-ccffcd87604c
Ceratonereis australis,,242,,,,,,,,34988250-4f32-463c-ae8e-ccffcd87604c
Batiacasphaera sphaerica,,239,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2; 38535a43-2982-4479-88c1-8303f7ee8665
Caedibacter,,239,,,,,,,,2fd06604-7d20-4712-9f68-eae9ae336bb5
"Cyanistes caeruleus caeruleus  (Linnaeus, 1758)",,239,"Chordata Bateson, 1885",Aves,Passeriformes,Paridae,"Cyanistes Kaup, 1829",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Passer montanus montanus (Linnaeus, 1758)",,239,"Chordata Bateson, 1885",Aves,Passeriformes,Passeridae,"Passer Brisson, 1760",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Rhizosolenia hebetata,,238,,,,,,,,46c52e34-73b7-45e6-a2ac-742e4c2058c5
Globorotalia cultrata cultrata,,238,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665; b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Didemnum candidum lutarium,,238,,,,,,,,5ad6c4ff-fb89-4edf-b7b0-212671fb27cf; 89e23fc8-3f61-4480-9de3-358fe6eefe0b
Catapsydrax dissimilis dissimilis,,237,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
Globigerinoides primordius,,237,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665; b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Gyroidinoides acutus,,236,,,,,,,,5591f393-fc15-461f-ab1f-da45e72339ee; 38535a43-2982-4479-88c1-8303f7ee8665; b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Hypoglossum hypoglossoides,,235,,,,,,,,63187f4a-1af9-4611-8f05-e806676ab55b; f7a8bd7b-1c7f-4c99-8e20-ecfabeb02e75; ebe7ffad-b134-40d3-b3df-21b675c4bcb1; 12acbce5-cb41-48c4-bd80-6030b0f0a83f; a9a3bdc6-209f-4c66-aafd-ce5271cb63b3; 80486acf-df76-4f48-b610-91258e8c3652
